time_index,card.nic.pps.avg.r
1605053700000.0,749197
1605053760000.0,756244
1605053820000.0,797294
1605053880000.0,845104
1605053940000.0,816584
1605054000000.0,816111
1605054060000.0,900304
1605054120000.0,811332
1605054180000.0,908585
1605054240000.0,796037
1605054300000.0,774302
1605054360000.0,739961
1605054420000.0,929563
1605054480000.0,992200
1605054540000.0,827387
1605054600000.0,806792
1605054660000.0,877570
1605054720000.0,906628
1605054780000.0,870923
1605054840000.0,811410
1605054900000.0,832509
1605054960000.0,878690
1605055020000.0,1013634
1605055080000.0,955899
1605055140000.0,924750
1605055200000.0,887896
1605055260000.0,847546
1605055320000.0,855839
1605055380000.0,763521
1605055440000.0,763283
1605055500000.0,776499
1605055560000.0,764118
1605055620000.0,879660
1605055680000.0,772420
1605055740000.0,867972
1605055800000.0,811897
1605055860000.0,773067
1605055920000.0,790487
1605055980000.0,914814
1605056040000.0,947428
1605056100000.0,872473
1605056160000.0,815293
1605056220000.0,782395
1605056280000.0,743723
1605056340000.0,731457
1605056400000.0,738781
1605056460000.0,822030
1605056520000.0,781398
1605056580000.0,869657
1605056640000.0,952003
1605056700000.0,996683
1605056760000.0,961552
1605056820000.0,929147
1605056880000.0,960190
1605056940000.0,1051155
1605057000000.0,971425
1605057060000.0,903357
1605057120000.0,893852
1605057180000.0,856382
1605057240000.0,898473
1605057300000.0,932363
1605057360000.0,831811
1605057420000.0,813345
1605057480000.0,909618
1605057540000.0,836447
1605057600000.0,902482
1605057660000.0,795642
1605057720000.0,691528
1605057780000.0,718663
1605057840000.0,701625
1605057900000.0,930115
1605057960000.0,918542
1605058020000.0,807565
1605058080000.0,825359
1605058140000.0,978634
1605058200000.0,887579
1605058260000.0,894742
1605058320000.0,948739
1605058380000.0,919125
1605058440000.0,910876
1605058500000.0,997956
1605058560000.0,856227
1605058620000.0,922019
1605058680000.0,927491
1605058740000.0,841146
1605058800000.0,956532
1605058860000.0,908237
1605058920000.0,859353
1605058980000.0,725751
1605059040000.0,880942
1605059100000.0,862919
1605059160000.0,946849
1605059220000.0,900242
1605059280000.0,998855
1605059340000.0,974475
1605059400000.0,1005897
1605059460000.0,1046358
1605059520000.0,1043775
1605059580000.0,1185859
1605059640000.0,1171593
1605059700000.0,1073793
1605059760000.0,1204913
1605059820000.0,1224827
1605059880000.0,1187127
1605059940000.0,1329666
1605060000000.0,1161965
1605060060000.0,1253479
1605060120000.0,1159282
1605060180000.0,1214329
1605060240000.0,1205288
1605060300000.0,1111528
1605060360000.0,1208288
1605060420000.0,1116943
1605060480000.0,1058544
1605060540000.0,1139584
1605060600000.0,1197540
1605060660000.0,1058085
1605060720000.0,1119335
1605060780000.0,1033956
1605060840000.0,997215
1605060900000.0,996907
1605060960000.0,951241
1605061020000.0,1084549
1605061080000.0,905394
1605061140000.0,923420
1605061200000.0,953737
1605061260000.0,994027
1605061320000.0,962023
1605061380000.0,940326
1605061440000.0,1054243
1605061500000.0,974947
1605061560000.0,946110
1605061620000.0,1038869
1605061680000.0,1037843
1605061740000.0,1019969
1605061800000.0,1101875
1605061860000.0,1202484
1605061920000.0,1160819
1605061980000.0,1159392
1605062040000.0,1039391
1605062100000.0,1190074
1605062160000.0,1069757
1605062220000.0,1157988
1605062280000.0,1100880
1605062340000.0,1024403
1605062400000.0,1080559
1605062460000.0,1012462
1605062520000.0,1183223
1605062580000.0,1150793
1605062640000.0,1288506
1605062700000.0,1270609
1605062760000.0,1126825
1605062820000.0,1100731
1605062880000.0,1282660
1605062940000.0,1165218
1605063000000.0,1266616
1605063060000.0,1246747
1605063120000.0,1300244
1605063180000.0,1372217
1605063240000.0,1354519
1605063300000.0,1278959
1605063360000.0,1248792
1605063420000.0,1395232
1605063480000.0,1306663
1605063540000.0,1407895
1605063600000.0,1323038
1605063660000.0,1401962
1605063720000.0,1304352
1605063780000.0,1382893
1605063840000.0,1238286
1605063900000.0,1247626
1605063960000.0,1206086
1605064020000.0,1202090
1605064080000.0,1218531
1605064140000.0,1230354
1605064200000.0,1149500
1605064260000.0,1212691
1605064320000.0,1293530
1605064380000.0,1294795
1605064440000.0,1258478
1605064500000.0,1371670
1605064560000.0,1188963
1605064620000.0,1022029
1605064680000.0,1083466
1605064740000.0,1165610
1605064800000.0,1158632
1605064860000.0,1079213
1605064920000.0,1161061
1605064980000.0,1084928
1605065040000.0,1114023
1605065100000.0,1136131
1605065160000.0,1110858
1605065220000.0,1199174
1605065280000.0,1175136
1605065340000.0,1185730
1605065400000.0,1098121
1605065460000.0,1163559
1605065520000.0,1195452
1605065580000.0,1111216
1605065640000.0,1116274
1605065700000.0,1079020
1605065760000.0,962124
1605065820000.0,1072364
1605065880000.0,1305744
1605065940000.0,1221712
1605066000000.0,1252140
1605066060000.0,1179684
1605066120000.0,1180875
1605066180000.0,1357467
1605066240000.0,1298262
1605066300000.0,1292049
1605066360000.0,1283736
1605066420000.0,1255994
1605066480000.0,1173073
1605066540000.0,1238911
1605066600000.0,1189127
1605066660000.0,1133466
1605066720000.0,1178575
1605066780000.0,1177851
1605066840000.0,1124259
1605066900000.0,1135257
1605066960000.0,1136940
1605067020000.0,1135280
1605067080000.0,1231622
1605067140000.0,1115913
1605067200000.0,1196479
1605067260000.0,1267074
1605067320000.0,1288574
1605067380000.0,1271445
1605067440000.0,1154378
1605067500000.0,1241566
1605067560000.0,1223209
1605067620000.0,1158396
1605067680000.0,1170470
1605067740000.0,1181714
1605067800000.0,1161227
1605067860000.0,1263537
1605067920000.0,1376168
1605067980000.0,1303786
1605068040000.0,1205422
1605068100000.0,1153537
1605068160000.0,1097993
1605068220000.0,1160742
1605068280000.0,1258542
1605068340000.0,1246723
1605068400000.0,1156346
1605068460000.0,1288463
1605068520000.0,1207522
1605068580000.0,1409814
1605068640000.0,1344787
1605068700000.0,1408006
1605068760000.0,1358107
1605068820000.0,1320002
1605068880000.0,1266032
1605068940000.0,1362907
1605069000000.0,1306421
1605069060000.0,1200099
1605069120000.0,1326257
1605069180000.0,1396785
1605069240000.0,1381292
1605069300000.0,1404259
1605069360000.0,1303845
1605069420000.0,1309793
1605069480000.0,1254784
1605069540000.0,1386005
1605069600000.0,1341442
1605069660000.0,1426007
1605069720000.0,1341456
1605069780000.0,1391062
1605069840000.0,1412145
1605069900000.0,1329581
1605069960000.0,1298507
1605070020000.0,1286571
1605070080000.0,1286125
1605070140000.0,1226572
1605070200000.0,1195673
1605070260000.0,1186950
1605070320000.0,1231622
1605070380000.0,1227445
1605070440000.0,1308174
1605070500000.0,1208693
1605070560000.0,1173673
1605070620000.0,1108167
1605070680000.0,1123209
1605070740000.0,1234718
1605070800000.0,1204499
1605070860000.0,1201573
1605070920000.0,1270510
1605070980000.0,1211669
1605071040000.0,1229317
1605071100000.0,1353645
1605071160000.0,1233242
1605071220000.0,1313894
1605071280000.0,1269016
1605071340000.0,1243393
1605071400000.0,1208866
1605071460000.0,1255914
1605071520000.0,1328219
1605071580000.0,1272054
1605071640000.0,1250904
1605071700000.0,1244204
1605071760000.0,1197160
1605071820000.0,1029371
1605071880000.0,1078663
1605071940000.0,1151275
1605072000000.0,1279590
1605072060000.0,1223261
1605072120000.0,1202407
1605072180000.0,1167471
1605072240000.0,1140757
1605072300000.0,1020836
1605072360000.0,1076480
1605072420000.0,1114925
1605072480000.0,1018267
1605072540000.0,1092363
1605072600000.0,1080904
1605072660000.0,1102878
1605072720000.0,1068878
1605072780000.0,1026623
1605072840000.0,1171511
1605072900000.0,1107924
1605072960000.0,1080849
1605073020000.0,1172604
1605073080000.0,1218941
1605073140000.0,1297182
1605073200000.0,1317336
1605073260000.0,1086695
1605073320000.0,1030030
1605073380000.0,1046532
1605073440000.0,1165278
1605073500000.0,1210604
1605073560000.0,1289377
1605073620000.0,1218215
1605073680000.0,1215589
1605073740000.0,1217293
1605073800000.0,1248507
1605073860000.0,1232110
1605073920000.0,1223722
1605073980000.0,1335057
1605074040000.0,1275104
1605074100000.0,1196231
1605074160000.0,1204569
1605074220000.0,1267478
1605074280000.0,1266398
1605074340000.0,1239527
1605074400000.0,1178362
1605074460000.0,1117999
1605074520000.0,1055008
1605074580000.0,1064504
1605074640000.0,1031303
1605074700000.0,1118576
1605074760000.0,1186264
1605074820000.0,1126830
1605074880000.0,1304044
1605074940000.0,1336770
1605075000000.0,1237193
1605075060000.0,1262653
1605075120000.0,1288861
1605075180000.0,1142044
1605075240000.0,1153151
1605075300000.0,1096920
1605075360000.0,1244165
1605075420000.0,1156669
1605075480000.0,1173504
1605075540000.0,1191459
1605075600000.0,1211241
1605075660000.0,1346544
1605075720000.0,1253065
1605075780000.0,1246687
1605075840000.0,1271912
1605075900000.0,1238249
1605075960000.0,1164234
1605076020000.0,1190682
1605076080000.0,1334603
1605076140000.0,1367909
1605076200000.0,1240707
1605076260000.0,1213374
1605076320000.0,1331020
1605076380000.0,1398383
1605076440000.0,1350784
1605076500000.0,1243470
1605076560000.0,1117488
1605076620000.0,1155827
1605076680000.0,1134778
1605076740000.0,1263886
1605076800000.0,1144031
1605076860000.0,1020546
1605076920000.0,1027133
1605076980000.0,1065508
1605077040000.0,1245801
1605077100000.0,1226361
1605077160000.0,1205593
1605077220000.0,1102936
1605077280000.0,1109144
1605077340000.0,1056800
1605077400000.0,1155917
1605077460000.0,1256890
1605077520000.0,1134373
1605077580000.0,978746
1605077640000.0,1147781
1605077700000.0,1020489
1605077760000.0,1058165
1605077820000.0,1170324
1605077880000.0,1086761
1605077940000.0,1112156
1605078000000.0,1137393
1605078060000.0,1165021
1605078120000.0,1131725
1605078180000.0,1123847
1605078240000.0,1047444
1605078300000.0,1047615
1605078360000.0,1090295
1605078420000.0,1068442
1605078480000.0,1121022
1605078540000.0,1110644
1605078600000.0,1097481
1605078660000.0,1152029
1605078720000.0,1043322
1605078780000.0,1004866
1605078840000.0,1131302
1605078900000.0,1148612
1605078960000.0,1209581
1605079020000.0,1099849
1605079080000.0,1120661
1605079140000.0,1116007
1605079200000.0,1134020
1605079260000.0,1217154
1605079320000.0,1270299
1605079380000.0,1353632
1605079440000.0,1247225
1605079500000.0,1254265
1605079560000.0,1196835
1605079620000.0,1188307
1605079680000.0,1160659
1605079740000.0,1110373
1605079800000.0,1034034
1605079860000.0,1247194
1605079920000.0,1104862
1605079980000.0,1111464
1605080040000.0,1044936
1605080100000.0,1151806
1605080160000.0,1147376
1605080220000.0,1232335
1605080280000.0,1217628
1605080340000.0,1206971
1605080400000.0,1264042
1605080460000.0,1309568
1605080520000.0,1294765
1605080580000.0,1244306
1605080640000.0,1294213
1605080700000.0,1171356
1605080760000.0,1240194
1605080820000.0,1281963
1605080880000.0,1311115
1605080940000.0,1283207
1605081000000.0,1294085
1605081060000.0,1227296
1605081120000.0,1282960
1605081180000.0,1216452
1605081240000.0,1222611
1605081300000.0,1199817
1605081360000.0,1198091
1605081420000.0,1239248
1605081480000.0,1124465
1605081540000.0,1034805
1605081600000.0,1080303
1605081660000.0,1127825
1605081720000.0,1104543
1605081780000.0,1107936
1605081840000.0,1077328
1605081900000.0,1229670
1605081960000.0,1309089
1605082020000.0,1294668
1605082080000.0,1238627
1605082140000.0,1174321
1605082200000.0,1199946
1605082260000.0,1219410
1605082320000.0,1097411
1605082380000.0,1069961
1605082440000.0,1135792
1605082500000.0,1170413
1605082560000.0,1209480
1605082620000.0,1285610
1605082680000.0,1347426
1605082740000.0,1179268
1605082800000.0,1293069
1605082860000.0,1298093
1605082920000.0,1247066
1605082980000.0,1086887
1605083040000.0,1242364
1605083100000.0,1375775
1605083160000.0,1417073
1605083220000.0,1369064
1605083280000.0,1285242
1605083340000.0,1352246
1605083400000.0,1421020
1605083460000.0,1265547
1605083520000.0,1353580
1605083580000.0,1294540
1605083640000.0,1266765
1605083700000.0,1223219
1605083760000.0,1329924
1605083820000.0,1307450
1605083880000.0,1371912
1605083940000.0,1280958
1605084000000.0,1292470
1605084060000.0,1268225
1605084120000.0,1194233
1605084180000.0,1215368
1605084240000.0,1189050
1605084300000.0,1115222
1605084360000.0,1147615
1605084420000.0,1179277
1605084480000.0,1217601
1605084540000.0,1291006
1605084600000.0,1174083
1605084660000.0,1155119
1605084720000.0,1163565
1605084780000.0,1161873
1605084840000.0,1200102
1605084900000.0,1159283
1605084960000.0,1213992
1605085020000.0,1147740
1605085080000.0,1113910
1605085140000.0,1117538
1605085200000.0,1148360
1605085260000.0,1119470
1605085320000.0,1189386
1605085380000.0,1183257
1605085440000.0,1264979
1605085500000.0,1263078
1605085560000.0,1142733
1605085620000.0,1037251
1605085680000.0,1164494
1605085740000.0,1263821
1605085800000.0,1302149
1605085860000.0,1256041
1605085920000.0,1330761
1605085980000.0,1237222
1605086040000.0,1196893
1605086100000.0,1234141
1605086160000.0,1104929
1605086220000.0,1167052
1605086280000.0,1223224
1605086340000.0,1376886
1605086400000.0,1335948
1605086460000.0,1226176
1605086520000.0,1186740
1605086580000.0,1197833
1605086640000.0,1129267
1605086700000.0,1222723
1605086760000.0,1095017
1605086820000.0,1186989
1605086880000.0,1142654
1605086940000.0,1173415
1605087000000.0,1283035
1605087060000.0,1120090
1605087120000.0,1092361
1605087180000.0,1138865
1605087240000.0,917680
1605087300000.0,1092122
1605087360000.0,1163089
1605087420000.0,1138638
1605087480000.0,977911
1605087540000.0,1101563
1605087600000.0,1147461
1605087660000.0,1020223
1605087720000.0,1042095
1605087780000.0,1010880
1605087840000.0,987330
1605087900000.0,1074782
1605087960000.0,1046679
1605088020000.0,1049397
1605088080000.0,1042257
1605088140000.0,1007645
1605088200000.0,1024503
1605088260000.0,1090006
1605088320000.0,999407
1605088380000.0,958555
1605088440000.0,1071190
1605088500000.0,1153443
1605088560000.0,922143
1605088620000.0,979856
1605088680000.0,976577
1605088740000.0,1185690
1605088800000.0,1252094
1605088860000.0,1271036
1605088920000.0,1253420
1605088980000.0,1169186
1605089040000.0,1089203
1605089100000.0,1110706
1605089160000.0,1218467
1605089220000.0,1184474
1605089280000.0,1125790
1605089340000.0,1240196
1605089400000.0,1200903
1605089460000.0,1136775
1605089520000.0,1033703
1605089580000.0,1055095
1605089640000.0,1065099
1605089700000.0,1153223
1605089760000.0,965072
1605089820000.0,1012596
1605089880000.0,1020980
1605089940000.0,1081733
1605090000000.0,1162805
1605090060000.0,957424
